Id,x1,x2,x3,x4,x5,x6,x7,sentiment
43,7.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0
44,28.0,19.0,1.0,3.0,1.0,1.0,1.0,1.0
45,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,4.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0
47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,19.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0
49,8.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0
50,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
51,6.0,21.0,0.0,0.0,0.0,11.0,1.0,0.0
52,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
53,8.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0
54,22.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0
55,34.0,17.0,1.0,2.0,1.0,0.0,0.0,1.0
56,24.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0
57,3.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0
58,24.0,20.0,1.0,2.0,1.0,4.0,1.0,1.0
59,13.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0
60,8.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
61,30.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0
62,6.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0
63,12.0,22.0,1.0,0.0,0.0,11.0,1.0,0.0
64,13.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0
65,25.0,36.0,1.0,0.0,0.0,3.0,1.0,0.0
66,9.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
67,11.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0
68,6.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0
69,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
70,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
71,13.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0
72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,20.0,26.0,0.0,0.0,0.0,3.0,1.0,1.0
74,4.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0
75,15.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0
76,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
77,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
78,10.0,21.0,0.0,0.0,0.0,13.0,1.0,0.0
79,8.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0
80,7.0,18.0,0.0,0.0,0.0,8.0,1.0,0.0
81,14.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
82,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
83,6.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0
84,17.0,16.0,1.0,0.0,0.0,2.0,1.0,1.0
85,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
86,7.0,14.0,1.0,0.0,0.0,6.0,1.0,0.0
87,6.0,9.0,1.0,0.0,0.0,2.0,1.0,0.0
88,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
89,14.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0
90,10.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0
91,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
92,14.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0
93,10.0,13.0,1.0,0.0,0.0,3.0,1.0,0.0
94,7.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0
95,20.0,18.0,1.0,0.0,0.0,1.0,1.0,1.0
96,29.0,22.0,0.0,5.0,1.0,2.0,1.0,1.0
97,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
98,3.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0
99,53.0,19.0,1.0,0.0,0.0,3.0,1.0,0.0
100,17.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
101,7.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0
102,25.0,4.0,0.0,7.0,1.0,0.0,0.0,1.0
103,10.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
104,8.0,30.0,1.0,0.0,0.0,13.0,1.0,0.0
105,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
106,11.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0
107,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
108,14.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0
109,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
110,5.0,6.0,1.0,0.0,0.0,4.0,1.0,0.0
111,22.0,33.0,1.0,0.0,0.0,4.0,1.0,0.0
112,5.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0
113,5.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0
114,1.0,6.0,1.0,0.0,0.0,3.0,1.0,0.0
115,26.0,14.0,1.0,0.0,0.0,7.0,1.0,0.0
116,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
117,10.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0
118,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
119,5.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0
120,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0
121,11.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
122,5.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
123,7.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0
124,19.0,8.0,1.0,2.0,1.0,0.0,0.0,1.0
125,7.0,12.0,1.0,0.0,0.0,4.0,1.0,0.0
126,6.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
127,15.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
128,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
129,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0
130,34.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
131,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
132,8.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0
133,3.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0
134,5.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0
135,21.0,6.0,0.0,4.0,1.0,2.0,1.0,1.0
136,4.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0
137,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
138,8.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0
139,19.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0
140,26.0,29.0,0.0,1.0,1.0,2.0,1.0,1.0
141,20.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0
142,0.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0
143,6.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0
144,4.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0
145,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
146,23.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0
147,9.0,19.0,1.0,0.0,0.0,5.0,1.0,0.0
148,16.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0
149,6.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
150,10.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
151,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
152,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0
153,7.0,16.0,1.0,0.0,0.0,1.0,1.0,1.0
154,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
155,1.0,12.0,0.0,0.0,0.0,5.0,1.0,0.0
156,6.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0
157,6.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0
158,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
159,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
160,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0
161,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
162,13.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
163,15.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
164,7.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0
165,6.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0
166,9.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0
167,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
169,16.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0
170,3.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0
171,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
172,14.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0
173,7.0,13.0,1.0,0.0,0.0,1.0,1.0,1.0
174,8.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0
175,45.0,36.0,1.0,3.0,1.0,1.0,1.0,1.0
176,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
177,7.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0
178,8.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0
179,12.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
180,16.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0
181,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0
182,7.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0
183,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
184,6.0,13.0,0.0,0.0,0.0,7.0,1.0,0.0
185,6.0,13.0,0.0,0.0,0.0,9.0,1.0,0.0
186,32.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0
187,18.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
188,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
189,3.0,9.0,1.0,0.0,0.0,3.0,1.0,0.0
190,4.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0
191,17.0,54.0,1.0,0.0,0.0,5.0,1.0,0.0
192,8.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0
193,21.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
194,10.0,18.0,0.0,0.0,0.0,4.0,1.0,0.0
195,4.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0
196,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
197,12.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0
198,26.0,14.0,1.0,3.0,1.0,1.0,1.0,1.0
199,14.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0
200,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
201,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
202,12.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
203,4.0,10.0,1.0,0.0,0.0,4.0,1.0,0.0
204,8.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
205,3.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0
206,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
207,10.0,14.0,0.0,0.0,0.0,4.0,1.0,0.0
208,3.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0
209,15.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0
210,4.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0
211,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
212,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
213,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
214,7.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0
215,28.0,23.0,1.0,1.0,1.0,1.0,1.0,0.0
216,3.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0
217,6.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0
218,10.0,6.0,0.0,3.0,1.0,0.0,0.0,1.0
219,25.0,20.0,1.0,2.0,1.0,5.0,1.0,0.0
220,16.0,16.0,0.0,0.0,0.0,3.0,1.0,0.0
221,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
222,16.0,16.0,1.0,0.0,0.0,3.0,1.0,0.0
223,29.0,31.0,0.0,2.0,1.0,2.0,1.0,1.0
224,21.0,16.0,0.0,1.0,1.0,0.0,0.0,1.0
225,32.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0
226,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0
227,22.0,44.0,1.0,1.0,1.0,10.0,1.0,1.0
228,26.0,13.0,0.0,1.0,1.0,2.0,1.0,0.0
229,12.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0
230,23.0,21.0,0.0,2.0,1.0,0.0,0.0,1.0
231,8.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0
232,6.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0
233,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0
234,10.0,17.0,0.0,0.0,0.0,2.0,1.0,0.0
235,18.0,21.0,0.0,0.0,0.0,2.0,1.0,0.0
236,9.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
237,8.0,18.0,0.0,0.0,0.0,2.0,1.0,0.0
238,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
239,18.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
240,12.0,14.0,1.0,0.0,0.0,1.0,1.0,0.0
241,9.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
242,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
243,7.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0
244,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
245,7.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0
246,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
247,34.0,15.0,1.0,0.0,0.0,1.0,1.0,1.0
248,8.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0
249,7.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0
250,19.0,25.0,1.0,0.0,0.0,4.0,1.0,0.0
251,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
252,24.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0
253,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
254,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
255,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
256,12.0,17.0,0.0,0.0,0.0,4.0,1.0,0.0
257,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
258,9.0,10.0,0.0,2.0,1.0,4.0,1.0,1.0
259,6.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0
260,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
261,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
262,26.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0
263,7.0,26.0,0.0,0.0,0.0,7.0,1.0,0.0
264,11.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0
265,10.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0
266,23.0,22.0,0.0,0.0,0.0,3.0,1.0,0.0
267,4.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0
268,31.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0
269,9.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0
270,6.0,20.0,1.0,0.0,0.0,3.0,1.0,0.0
271,18.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
272,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
273,3.0,13.0,0.0,0.0,0.0,7.0,1.0,0.0
274,2.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0
275,6.0,9.0,0.0,0.0,0.0,4.0,1.0,0.0
276,18.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
277,8.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0
278,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
279,4.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0
280,44.0,16.0,1.0,4.0,1.0,0.0,0.0,1.0
281,22.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0
282,23.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0
283,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
284,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
285,12.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
286,2.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0
287,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
288,14.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
289,10.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0
290,12.0,11.0,1.0,0.0,0.0,2.0,1.0,0.0
291,20.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0
292,17.0,25.0,1.0,0.0,0.0,4.0,1.0,1.0
293,10.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
294,11.0,12.0,1.0,0.0,0.0,3.0,1.0,0.0
295,10.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0
296,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
297,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
298,7.0,11.0,1.0,0.0,0.0,3.0,1.0,0.0
299,21.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0
300,9.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0
301,10.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0
302,12.0,15.0,0.0,3.0,1.0,0.0,0.0,1.0
303,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
304,33.0,33.0,1.0,4.0,1.0,1.0,1.0,1.0
305,15.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0
306,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
308,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
309,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
310,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
311,19.0,22.0,1.0,0.0,0.0,13.0,1.0,0.0
312,44.0,39.0,1.0,0.0,0.0,4.0,1.0,1.0
313,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0
314,12.0,20.0,0.0,0.0,0.0,2.0,1.0,0.0
315,13.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
316,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
317,13.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0
318,6.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0
319,7.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0
320,8.0,10.0,1.0,0.0,0.0,2.0,1.0,1.0
321,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
322,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
323,8.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0
324,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
325,7.0,13.0,1.0,0.0,0.0,4.0,1.0,0.0
326,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
327,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
328,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
329,15.0,19.0,1.0,0.0,0.0,3.0,1.0,0.0
330,20.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0
331,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
332,19.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0
333,18.0,13.0,1.0,1.0,1.0,3.0,1.0,1.0
334,3.0,10.0,0.0,0.0,0.0,6.0,1.0,0.0
335,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
336,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
337,6.0,16.0,1.0,0.0,0.0,2.0,1.0,0.0
338,0.0,12.0,0.0,0.0,0.0,3.0,1.0,0.0
339,5.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0
340,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
341,22.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0
342,8.0,17.0,0.0,0.0,0.0,5.0,1.0,0.0
343,30.0,35.0,0.0,4.0,1.0,0.0,0.0,1.0
344,12.0,7.0,0.0,2.0,1.0,2.0,1.0,1.0
345,17.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0
346,16.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0
347,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
348,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
349,7.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0
350,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0
351,12.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
352,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
353,4.0,8.0,1.0,0.0,0.0,4.0,1.0,0.0
354,30.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0
355,2.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0
356,7.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0
357,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
358,6.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0
359,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
360,6.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0
361,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0
362,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
363,3.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0
364,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
365,11.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0
366,15.0,28.0,1.0,1.0,1.0,9.0,1.0,0.0
367,7.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0
368,10.0,23.0,0.0,0.0,0.0,4.0,1.0,0.0
369,14.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
370,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
371,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
372,4.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
373,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
374,10.0,27.0,1.0,0.0,0.0,3.0,1.0,1.0
375,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
376,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
377,6.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0
378,1.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0
379,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
380,9.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0
381,4.0,8.0,1.0,0.0,0.0,3.0,1.0,0.0
382,17.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0
383,8.0,11.0,0.0,0.0,0.0,5.0,1.0,0.0
384,11.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0
385,18.0,7.0,0.0,3.0,1.0,0.0,0.0,1.0
386,27.0,29.0,1.0,0.0,0.0,1.0,1.0,1.0
387,14.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0
388,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
389,25.0,16.0,1.0,0.0,0.0,4.0,1.0,1.0
390,11.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
391,19.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0
392,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
393,9.0,16.0,1.0,0.0,0.0,1.0,1.0,0.0
394,23.0,31.0,0.0,1.0,1.0,4.0,1.0,0.0
395,15.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0
396,18.0,27.0,0.0,0.0,0.0,7.0,1.0,0.0
397,42.0,32.0,1.0,3.0,1.0,2.0,1.0,1.0
398,7.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0
399,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
400,6.0,23.0,1.0,2.0,1.0,4.0,1.0,0.0
401,6.0,12.0,0.0,0.0,0.0,5.0,1.0,0.0
402,16.0,25.0,1.0,0.0,0.0,2.0,1.0,1.0
403,3.0,13.0,0.0,0.0,0.0,5.0,1.0,0.0
404,11.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0
405,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
406,14.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0
407,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
408,8.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0
409,5.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
